state,dun,ballot_order,name,party,votes
Selangor,N.12 Jeram,2,Ustaz Mohd Noor,PAS,4326
Selangor,N.12 Jeram,3,Cikgu Zahar,BN,5896
Selangor,N.13 Kuang,1,Datuk Abdul Shukur Bin Idrus,BN,6985
Selangor,N.13 Kuang,2,Ustaz Mohd Fauzan Madzlan,PAS,5672
Selangor,N.13 Kuang,3,Salleh Amiruddin,PKR,9845
Selangor,N.13 Kuang,4,Mohd Rafie Bin Mohammad Arif,PRM,44
Selangor,N.14 Rawang,1,Kong Tuck Wah,PAS,2259
Selangor,N.14 Rawang,2,Sr. Azman Bin Mohd. Noor,BEBAS,644
Selangor,N.14 Rawang,3,Chua Wei Kiat,PKR,29946
Selangor,N.14 Rawang,4,Chan Wun Hoong,BN,6086
Selangor,N.15 Taman Templer,1,Zaidy Bin Abdul Talib,PAS,10459
Selangor,N.15 Taman Templer,2,Dato' Ir Hj Md Nasir Bin Ibrahim,BN,7580
Selangor,N.15 Taman Templer,3,Koh Swe Yong,PRM,82
Selangor,N.15 Taman Templer,4,Mohd Sany Hamzan,PKR,18362
Selangor,N.15 Taman Templer,5,Dr. Rajandran,PAP,108
Selangor,N.16 Sungai Tua,1,Badrul Acong,BEBAS,268
Selangor,N.16 Sungai Tua,2,Datuk N. Rawisandran,BN,6072
Selangor,N.16 Sungai Tua,3,Ustaz Mad China,PAS,4530
Selangor,N.16 Sungai Tua,4,Amirudin Shari,PKR,17446
Selangor,N.17 Gombak Setia,1,Megat Zulkarnain Bin Omardin,BN,11113
Selangor,N.17 Gombak Setia,2,Hilman Idham,PKR,24157
Selangor,N.17 Gombak Setia,3,Ustaz Hasbullah Ridzwan,PAS,11758
Selangor,N.18 Hulu Kelang,1,Ustaz Farhan @ Kamalulhysham,PAS,7573
Selangor,N.18 Hulu Kelang,2,Ismail Bin Ahmad,BN,10397
Selangor,N.18 Hulu Kelang,3,Saari Bin Sungib,PKR,25746
Selangor,N.19 Bukit Antarabangsa,1,Sharifah Haslizah Binti Syed Ariffin,PAS,2311
Selangor,N.19 Bukit Antarabangsa,2,Diva Aa,BEBAS,90
Selangor,N.19 Bukit Antarabangsa,3,Dato' Seri Azmin Ali,PKR,30892
Selangor,N.19 Bukit Antarabangsa,4,Salwa Hj. Yunus,BN,5380
Selangor,N.19 Bukit Antarabangsa,5,Ahmad Bin Kamarudin,PRM,116
Selangor,N.20 Lembah Jaya,1,Khasim Bin Abdul Aziz,PAS,7358
Selangor,N.20 Lembah Jaya,2,Haniza Talha,PKR,22512
Selangor,N.20 Lembah Jaya,3,Norizwan,PRM,177
Selangor,N.20 Lembah Jaya,4,Muhamad Nizam,BN,7722
Selangor,N.21 Pandan Indah,1,Izham Bin Hashim,PKR,24914
Selangor,N.21 Pandan Indah,2,Dato' Iskandar A. Samad,PAS,7517
Selangor,N.21 Pandan Indah,3,Datuk Haji Haniff Bin Koslan,BN,8528
Selangor,N.22 Teratai,1,Ben Liew Pok Boon,BN,4784
Selangor,N.22 Teratai,2,Jenice Lee Ying Ha,PRM,529
Selangor,N.22 Teratai,3,Irman Wahab,PAS,5028
Selangor,N.22 Teratai,4,Lai Wai Chong (Bryan),PKR,34453
Selangor,N.23 Dusun Tua,1,Haji Mohd Zin Bin Isa,BN,11903
Selangor,N.23 Dusun Tua,2,Edry Faizal,PKR,22325
Selangor,N.23 Dusun Tua,3,Razaly Bin Hassan,PAS,7771
Selangor,N.24 Semenyih,1,Datuk Haji Johan Bin Abd Aziz,BN,14464
Selangor,N.24 Semenyih,2,Haji Mad Shahmiour Mat Kosim,PAS,6966
Selangor,N.24 Semenyih,3,Arul,PSM,1293
Selangor,N.24 Semenyih,4,Bakhtiar Bin Mohd Nor,PKR,23428
Selangor,N.25 Kajang,1,Hee Loy Sian,PKR,39055
Selangor,N.25 Kajang,2,Dennis Wan,PRM,103
Selangor,N.25 Kajang,3,Teh Yeow Meng,BN,7097
Selangor,N.25 Kajang,4,Zaiton Binti Ahmad,PAS,8300
Selangor,N.26 Sungai Ramal,1,Hj. Mazwan Johar,PKR,24591
Selangor,N.26 Sungai Ramal,2,Abdul Rahim Bin Mohd Amin,BN,9372
Selangor,N.26 Sungai Ramal,3,Ustaz Nushi Dato Mahfodz,PAS,13961
Selangor,N.27 Balakong,1,Mohamad Ibrahim Ghazali,PAS,6230
Selangor,N.27 Balakong,2,Ng Tien Chee (Eddie),PKR,41768
Selangor,N.27 Balakong,3,Ir Lim Chin Wah,BN,5874
Selangor,N.28 Seri Kembangan,1,Ean Yong Hian Wah,PKR,34659
Selangor,N.28 Seri Kembangan,2,Chang Toong Woh,BN,3514
Selangor,N.29 Seri Serdang,1,Dr Mariah Mahmud,PKR,27088
Selangor,N.29 Seri Serdang,2,Hjh. Noor Hanim Ismail,PAS,5552
Selangor,N.29 Seri Serdang,3,Mohamad Satim Bin Diman,BN,12725
Selangor,N.30 Kinrara,1,Ng Sze Han,PKR,52207
Selangor,N.30 Kinrara,2,Chiew Kai Heng,BN,6995
Selangor,N.30 Kinrara,3,Dato Jonathan Lim Ying Ran,PAS,3732
Selangor,N.31 Subang Jaya,1,Michelle Ng Mei Sze,PKR,55354
Selangor,N.31 Subang Jaya,2,Toh Sin Wah,BEBAS,228
Selangor,N.31 Subang Jaya,3,Mejar (B) Chong Ah Watt,BN,7082
Selangor,N.32 Seri Setia,1,Mohd Ghazali Bin Daud,PAS,4563
Selangor,N.32 Seri Setia,2,Dr. S. Vignes,BEBAS,217
Selangor,N.32 Seri Setia,3,Datuk Haji Yusoff Hm Haniff,BN,9878
Selangor,N.32 Seri Setia,4,Dr. Shaharuddin B. Badaruddin,PKR,29250
Selangor,N.33 Taman Medan,1,Ariffin Bin Mahaiyuddin,PAS,5090
Selangor,N.33 Taman Medan,2,Ustaz Syamsul Firdaus,PKR,21712
Selangor,N.33 Taman Medan,3,Abdul Mutalif Bin Abdul Rahim,BN,10772
Selangor,N.34 Bukit Gasing,1,Rajiv Rishyakaran,PKR,29366
Selangor,N.34 Bukit Gasing,2,David Sew Kah Heng,PAS,890
Selangor,N.34 Bukit Gasing,3,Chai Ko Thing,BN,3531
Selangor,N.35 Kampung Tunku,1,Lim Yi Wei,PKR,34477
Selangor,N.35 Kampung Tunku,2,Tan Gim Tuan Gt,BN,4033
Selangor,N.36 Bandar Utama,1,Ch'Ng Soo Chau,BN,3882
Selangor,N.36 Bandar Utama,2,Jamaliah Binti Jamaluddin,PKR,38651
Selangor,N.36 Bandar Utama,3,Peter Chong,BEBAS,188
Selangor,N.37 Bukit Lanjan,1,Elizabeth Wong,PKR,47748
Selangor,N.37 Bukit Lanjan,2,Syed Abdul Razak,BN,7515
Selangor,N.38 Paya Jaras,1,Dato' Zein Isma,BN,8304
Selangor,N.38 Paya Jaras,2,Hanafi Bin Zulkapli,PAS,6042
Selangor,N.38 Paya Jaras,3,Mohd Khairuddin,PKR,20376
Selangor,N.39 Kota Damansara,1,Hajah Halimaton Saadiah,BN,10737
Selangor,N.39 Kota Damansara,2,Shatiri Mansor,PKR,26440
Selangor,N.39 Kota Damansara,3,Siti Rohaya Binti Ahad,PAS,5633
Selangor,N.39 Kota Damansara,4,A. Sivarajan,PSM,435
Selangor,N.40 Kota Anggerik,1,Jumaeah Binti Masdi,BN,8924
Selangor,N.40 Kota Anggerik,2,Najwan Halimi,PKR,26947
Selangor,N.40 Kota Anggerik,3,Ustaz Ahmad Dusuki,PAS,9943
Selangor,N.41 Batu Tiga,1,Rodziah Ismail,PKR,27638
Selangor,N.41 Batu Tiga,2,Haji Abdul Halim Bin Omar,PAS,7793
Selangor,N.41 Batu Tiga,3,Ahmad Mua'Adzam Shah Bin Ya'Akop,BN,12022
Selangor,N.42 Meru,1,Khairul Anuar Bin Saimun,BN,8057
Selangor,N.42 Meru,2,Manikavasagam,PRM,346
Selangor,N.42 Meru,3,Noor Najhan Bin Mohamad Salleh,PAS,7804
Selangor,N.42 Meru,4,Alex Shee Chee Weng,BEBAS,72
Selangor,N.42 Meru,5,Ustaz Fakhrulrazi Mokhtar,PKR,17665
Selangor,N.43 Sementa,1,Saroni Bin Judi,BN,12497
Selangor,N.43 Sementa,2,Dr Daroyah Binti Alwi,PKR,17867
Selangor,N.43 Sementa,3,Gandhi A/P Nagamuthu,PRM,120
Selangor,N.43 Sementa,4,Wan Hasrina Binti Wan Hassan,PAS,7696
Selangor,N.44 Selat Klang,1,Abdul Rashid Bin  Asari,PKR,12266
Selangor,N.44 Selat Klang,2,Mohd Khairi Bin Hussin,BN,9949
Selangor,N.44 Selat Klang,3,Jeichandran A/L Wadivelu,PRM,52
Selangor,N.44 Selat Klang,4,Dr Halimah Ali,PAS,11766
Selangor,N.44 Selat Klang,5,Zainal Azwar Bin Kamaruddin,BEBAS,49
Selangor,N.45 Bandar Baru Klang,1,Teoh Kah Yeong,BN,5098
Selangor,N.45 Bandar Baru Klang,2,Dato' Teng Chang Khim,PKR,44926
Selangor,N.46 Pelabuhan Klang,1,Dato Seikh Rajesh Bin Dato Sri Seikh Ahmad,BN,9415
Selangor,N.46 Pelabuhan Klang,2,Azmizam Zaman Huri,PKR,15837
Selangor,N.46 Pelabuhan Klang,3,Shan @ Shanmugam,PSM,128
Selangor,N.46 Pelabuhan Klang,4,Khalid Bin Nayan,PAS,2925
Selangor,N.47 Pandamaran,1,Santokh Singh,PAS,1459
Selangor,N.47 Pandamaran,2,Tony Leong Tuck Chee,PKR,41552
Selangor,N.47 Pandamaran,3,Tee Hooi Ling,BN,5689
Selangor,N.48 Sentosa,1,Gunaraj,PKR,38106
Selangor,N.48 Sentosa,2,Rajan Manikesavan,PAS,1722
Selangor,N.48 Sentosa,3,Dato' R.S.Maniam,BN,4506
Selangor,N.48 Sentosa,4,M . Thilai,PRM,79
Selangor,N.48 Sentosa,5,Ps Rajoo,BEBAS,95
Selangor,N.49 Sungai Kandis,1,Hanafiah Bin Husin,PRM,76
Selangor,N.49 Sungai Kandis,2,Kamaruzzaman Bin Johari,BN,11518
Selangor,N.49 Sungai Kandis,3,Shuhaimi Haji Shafiei,PKR,23998
Selangor,N.49 Sungai Kandis,4,Mohd Yusof,PAS,7573
Selangor,N.50 Kota Kemuning,1,Abdul Razak Ismail,PSM,226
Selangor,N.50 Kota Kemuning,2,Burhan Bin Adnan,PAS,6978
Selangor,N.50 Kota Kemuning,3,Ganabatirau Veraman,PKR,28617
Selangor,N.50 Kota Kemuning,4,Tiew Hock Huat,BN,4601
Selangor,N.50 Kota Kemuning,5,Rajasekaran,BEBAS,93
Selangor,N.51 Sijangkang,1,Mohd Hamidi Bin Abu Bakar,PKR,11011
Selangor,N.51 Sijangkang,2,Dato' Sulaiman Bin Mohd Karli,BN,10420
Selangor,N.51 Sijangkang,3,Dr Ahmad Yunus Bin Hairi,PAS,12688
Selangor,N.52 Banting,1,Ng Siok Hwa,BN,4547
Selangor,N.52 Banting,2,Lau Weng San,PKR,21846
Selangor,N.52 Banting,3,Philip Tan Choon Swee,PRM,311
Selangor,N.53 Morib,1,Dr Mohd Sallehuddin Hafiz,PAS,7329
Selangor,N.53 Morib,2,Hajjah Rozana,BN,8883
Selangor,N.53 Morib,3,Haji Hasnul Bin Baharuddin,PKR,11000
Selangor,N.54 Tanjong Sepat,1,Ir. Mohd Haslin Bin Hassan,PAS,4273
Selangor,N.54 Tanjong Sepat,2,Haji Borhan Bin Aman Shah,PKR,9828
Selangor,N.54 Tanjong Sepat,3,Dato Dr Karim Mansor,BN,7124
Selangor,N.55 Dengkil,1,Adhif Syan Bin Abdullah,PKR,21172
Selangor,N.55 Dengkil,2,Yusmi Haniff Bin Ariffin,PAS,8422
Selangor,N.55 Dengkil,3,Shahrum Bin Mohd Sharif,BN,14238
Selangor,N.56 Sungai Pelek,1,Dato' Ng Chok Sin,BN,6898
Selangor,N.56 Sungai Pelek,2,Harry Arul Raj A/L Krishnan,PAP,79
Selangor,N.56 Sungai Pelek,3,Ronnie Liu Tian Khiew,PKR,13484
Selangor,N.56 Sungai Pelek,4,Hjh Rohaya Binti Datuk Mohd Shahir,PAS,5200
Negeri Sembilan,N.01 Chennah,1,Seet Tee Gee,BN,3876
Negeri Sembilan,N.01 Chennah,2,Jamalus Bin Mansor,PAS,975
Negeri Sembilan,N.01 Chennah,3,Loke Siew Fook,PKR,5031
Negeri Sembilan,N.02 Pertang,1,Noor Azmi Bin Yusof,BN,4008
Negeri Sembilan,N.02 Pertang,2,Osman Dusa,PKR,3593
Negeri Sembilan,N.02 Pertang,3,Hamran Bin Abu Hasan,PAS,578
Negeri Sembilan,N.03 Sungai Lui,1,Abd Karim Shahimi Bin Abd Razak,PAS,1269
Negeri Sembilan,N.03 Sungai Lui,2,Mohd Razi Bin Mohd Ali,BN,7795
Negeri Sembilan,N.03 Sungai Lui,3,Zainal Fikri,PKR,3396
Negeri Sembilan,N.04 Klawang,1,Bakri Sawir,PKR,4296
Negeri Sembilan,N.04 Klawang,2,Mazly Bin Yasin,PAS,744
Negeri Sembilan,N.04 Klawang,3,Baharudin Bin Jali,BN,3320
Negeri Sembilan,N.05 Serting,1,Abd Rahman Ramli,PKR,6014
Negeri Sembilan,N.05 Serting,2,Dato' Hj Shamshulkahar Bin Hj Mohd Deli,BN,9782
Negeri Sembilan,N.05 Serting,3,Al Zukri,PAS,1837
Negeri Sembilan,N.06 Palong,1,Masdi Bin Musa,PAS,1571
Negeri Sembilan,N.06 Palong,2,Mustapha Bin Nagoor,BN,9575
Negeri Sembilan,N.06 Palong,3,Dato' Abdul Rahman Bin Jaafar,PKR,3329
Negeri Sembilan,N.07 Jeram Padang,1,Dato' Manickam Letchuman,BN,3702
Negeri Sembilan,N.07 Jeram Padang,2,Mohd Fairuz,PAS,785
Negeri Sembilan,N.07 Jeram Padang,3,S Musliadi Sabtu,PKR,2302
Negeri Sembilan,N.07 Jeram Padang,4,Surash A/L Sreenivasan,BEBAS,2640
Negeri Sembilan,N.08 Bahau,1,Cikgu Bakri,PAS,1512
Negeri Sembilan,N.08 Bahau,2,Teo Kok Seong,PKR,10094
Negeri Sembilan,N.08 Bahau,3,Chong Wan Yu,BN,3985
Negeri Sembilan,N.09 Lenggeng,1,Ustaz Suhaimi Kassim,PKR,7456
Negeri Sembilan,N.09 Lenggeng,2,Mohammad Ghazali Bin Abu Bakar,PAS,1612
Negeri Sembilan,N.09 Lenggeng,3,Mazalan Bin Maarop,BN,6470
Negeri Sembilan,N.10 Nilai,1,Leaw Kok Chan,BN,4394
Negeri Sembilan,N.10 Nilai,2,J. Arul Kumar,PKR,14219
Negeri Sembilan,N.10 Nilai,3,Mohd Abu Zarim Abdul Rahman,PAS,2151
Negeri Sembilan,N.11 Lobak,1,Lim Kok Kian,BN,1865
Negeri Sembilan,N.11 Lobak,2,Balamurugan A/L Sanmugam,PAP,92
Negeri Sembilan,N.11 Lobak,3,Chew Seh Yong,PKR,13647
Negeri Sembilan,N.12 Temiang,1,Ng Chin Tsai,PKR,5894
Negeri Sembilan,N.12 Temiang,2,Siow Koi Voon,BN,2831
Negeri Sembilan,N.12 Temiang,3,Yau Con Seng,PAS,369
Negeri Sembilan,N.13 Sikamat,1,Syamsul Debat,BN,6419
Negeri Sembilan,N.13 Sikamat,2,Aminuddin Harun,PKR,9832
Negeri Sembilan,N.13 Sikamat,3,Haji Rahim Bin Yusof,PAS,1331
Negeri Sembilan,N.13 Sikamat,4,Bujang Bin Abu,BEBAS,15
Negeri Sembilan,N.14 Ampangan,1,Mustaffa Bin Daharun,PAS,983
Negeri Sembilan,N.14 Ampangan,2,Hj. Abu Ubaidah,BN,5441
Negeri Sembilan,N.14 Ampangan,3,Dr.  Mohamad Rafie Bin Ab Malek,PKR,6801
Negeri Sembilan,N.15 Juasseh,1,Dato Hj Ismail Lasim,BN,4146
Negeri Sembilan,N.15 Juasseh,2,Rosli Bin Omar,PKR,3454
Negeri Sembilan,N.15 Juasseh,3,Hassan Bin Mohamed,PAS,624
Negeri Sembilan,N.16 Seri Menanti,1,Hj. Rafiei,PAS,535
Negeri Sembilan,N.16 Seri Menanti,2,Dato Abd Samad Bin Ibrahim,BN,3362
Negeri Sembilan,N.16 Seri Menanti,3,Jamali Bin Salam,PKR,2767
Negeri Sembilan,N.17 Senaling,1,Haji Rais Basiron,PKR,2484
Negeri Sembilan,N.17 Senaling,2,Dato Hj Adnan Bin Abu Hassan,BN,3456
Negeri Sembilan,N.17 Senaling,3,Fazilah Abu Samah,PAS,598
Negeri Sembilan,N.18 Pilah,1,Mohamad Nazaruddin Bin Sabtu,PKR,5643
Negeri Sembilan,N.18 Pilah,2,Dato Norhayati Binti Omar,BN,3837
Negeri Sembilan,N.18 Pilah,3,Haji Fadzil,PAS,1413
Negeri Sembilan,N.19 Johol,1,Hj Saiful Yazan Bin Sulaiman,BN,3907
Negeri Sembilan,N.19 Johol,2,Zulkefly Omar,PKR,2942
Negeri Sembilan,N.19 Johol,3,Haji Kamarudin Tahir,PAS,1069
Negeri Sembilan,N.20 Labu,1,Ustaz Khairil Anuar Wafa,PAS,2093
Negeri Sembilan,N.20 Labu,2,Ismail Bin Ahmad,PKR,6712
Negeri Sembilan,N.20 Labu,3,Hasim Bin Rusdi,BN,5830
Negeri Sembilan,N.20 Labu,4,David Dass Aseerpatham,PAP,46
Negeri Sembilan,N.21 Bukit Kepayang,1,Mak Kah Keong,BN,3744
Negeri Sembilan,N.21 Bukit Kepayang,2,Nicole Tan Lee Koon,PKR,18668
Negeri Sembilan,N.22 Rahang,1,Mary Josephine Prittam Singh,PKR,10018
Negeri Sembilan,N.22 Rahang,2,Yap Siok Moy,BN,3458
Negeri Sembilan,N.22 Rahang,3,Saraswathy A/P Paragazum,PAP,66
Negeri Sembilan,N.23 Mambau,1,Yap Yew Weng,PKR,14911
Negeri Sembilan,N.23 Mambau,2,Dafney Ho,BN,2522
Negeri Sembilan,N.23 Mambau,3,T. Parimala Devi,PAP,101
Negeri Sembilan,N.24 Seremban Jaya,1,P.Guna,PKR,13760
Negeri Sembilan,N.24 Seremban Jaya,2,Sagaya Rajan A/L Xavier,PAP,99
Negeri Sembilan,N.24 Seremban Jaya,3,Choong Vee Hing,BN,3253
Negeri Sembilan,N.25 Paroi,1,Masita Binti Mohamed Ali,PAS,3499
Negeri Sembilan,N.25 Paroi,2,Mohd Ghazali Bin Abd Wahid,BN,11197
Negeri Sembilan,N.25 Paroi,3,Haji Taufek,PKR,16038
Negeri Sembilan,N.26 Chembong,1,Ustaz Rosmin Adam,PAS,1288
Negeri Sembilan,N.26 Chembong,2,Zaifulbahri Bin Idris,BN,9079
Negeri Sembilan,N.26 Chembong,3,Azizan Marzuki,PKR,4652
Negeri Sembilan,N.27 Rantau,1,Tok Mat,BN,0
Negeri Sembilan,N.28 Kota,1,Haji Ishak Bin Omar,PAS,1333
Negeri Sembilan,N.28 Kota,2,Awaludin Bin Said,BN,6356
Negeri Sembilan,N.28 Kota,3,Sahrizal Masrudin,PKR,3387
Negeri Sembilan,N.29 Chuah,1,Dato Sri King Lim,BN,3460
Negeri Sembilan,N.29 Chuah,2,Michael Yek Diew Ching,PKR,6661
Negeri Sembilan,N.30 Lukut,1,Yeong Kun You,BN,3044
Negeri Sembilan,N.30 Lukut,2,Choo Ken Hwa,PKR,11449
Negeri Sembilan,N.31 Bagan Pinang,1,Tun Hairudin Bin Abu Bakar @ Don,BN,7146
Negeri Sembilan,N.31 Bagan Pinang,2,Mohd Ibrahim Khan,PKR,5211
Negeri Sembilan,N.32 Linggi,1,Dato' Hj. Abdul Rahman Mohd Redza,BN,6072
Negeri Sembilan,N.32 Linggi,2,Rizal Ishak,PAS,992
Negeri Sembilan,N.32 Linggi,3,Rusli Bin Abdullah,PKR,5449
Negeri Sembilan,N.33 Sri Tanjung,1,Thinalan T Rajagopalu,BN,3336
Negeri Sembilan,N.33 Sri Tanjung,2,M.Ravi,PKR,7366
Negeri Sembilan,N.33 Sri Tanjung,3,Haji Kamarol Ridzuan,PAS,1061
Negeri Sembilan,N.34 Gemas,1,Haji Baharuddin Arif Bin Haji Siri,PKR,5081
Negeri Sembilan,N.34 Gemas,2,Mejar Abdul Halim Bin Abu Bakar (Bersara),PAS,2612
Negeri Sembilan,N.34 Gemas,3,Abd Razak Bin Ab Said,BN,9853
Negeri Sembilan,N.35 Gemencheh,1,Ishak Bin Maasin,PAS,1122
Negeri Sembilan,N.35 Gemencheh,2,Mohd Isam Bin Mohd Isa,BN,6963
Negeri Sembilan,N.35 Gemencheh,3,Saiful Adly Bin Abd Wahab,PKR,6612
Negeri Sembilan,N.36 Repah,1,Hj.Razak,PAS,1957
Negeri Sembilan,N.36 Repah,2,Veerapan A/L Superamaniam,PKR,9568
Negeri Sembilan,N.36 Repah,3,Koh Kim Swee,BN,4810
